architecture,split,bit,scope_type,scope_value,ambiguous_excluded_from_split,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
online,validation,write_off,layer,12,26,4,1,3,0.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,1
online,validation,write_off,layer,13,26,12,4,8,0.625,0.6904761904761905,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0,8,0,4
online,validation,write_off,layer,14,26,18,7,11,0.19480519480519481,0.2949534126004714,0.5555555555555556,0.45454545454545453,0.0,0.0,0.0,0.09090909090909091,1.0,0,10,1,7
online,validation,write_off,layer,15,26,11,4,7,0.5,0.54375,0.7272727272727273,0.625,1.0,0.25,0.4,0.0,0.75,1,7,0,3
online,validation,write_off,layer,16,26,13,1,12,0.25,0.1,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,1.0,0,12,0,1
online,validation,write_off,layer,17,26,4,2,2,0.5,0.75,0.75,0.75,1.0,0.5,0.6666666666666666,0.0,0.5,1,2,0,1
online,validation,write_off,layer,18,26,9,3,6,0.16666666666666666,0.2757936507936508,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0,6,0,3
online,validation,write_off,layer,19,26,8,1,7,0.0,0.125,0.875,0.5,0.0,0.0,0.0,0.0,1.0,0,7,0,1
online,validation,write_off,layer,20,26,4,0,4,nan,nan,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,4,0,0
online,validation,write_off,layer,21,26,8,1,7,0.0,0.125,0.875,0.5,0.0,0.0,0.0,0.0,1.0,0,7,0,1
online,validation,write_off,layer,22,26,6,2,4,0.25,0.3333333333333333,0.5,0.375,0.0,0.0,0.0,0.25,1.0,0,3,1,2
online,validation,write_off,layer,23,26,10,3,7,0.3333333333333333,0.28968253968253965,0.7,0.5,0.0,0.0,0.0,0.0,1.0,0,7,0,3
online,validation,write_off,layer,24,26,6,0,6,nan,nan,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,6,0,0
online,validation,write_off,layer,25,26,10,3,7,0.5238095238095238,0.5535714285714286,0.7,0.5,0.0,0.0,0.0,0.0,1.0,0,7,0,3
online,validation,write_off,layer,26,26,10,4,6,0.2916666666666667,0.3901785714285714,0.6,0.5,0.0,0.0,0.0,0.0,1.0,0,6,0,4
online,validation,write_off,layer,27,26,4,0,4,nan,nan,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,4,0,0
