architecture,split,scope_type,scope_value,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
online,train,layer,9,40,20,20,1.0,1.0,0.975,0.975,0.9523809523809523,1.0,0.975609756097561,0.05,0.0,20,19,1,0
online,train,layer,10,28,14,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14,14,0,0
online,train,layer,11,38,19,19,0.997229916897507,0.9973684210526316,0.9473684210526315,0.9473684210526316,0.9047619047619048,1.0,0.9500000000000001,0.10526315789473684,0.0,19,17,2,0
online,train,layer,12,50,25,25,0.9936,0.9934557413600892,0.94,0.94,0.8928571428571429,1.0,0.9433962264150945,0.12,0.0,25,22,3,0
online,train,layer,13,44,22,22,1.0,1.0,0.9772727272727273,0.9772727272727273,0.9565217391304348,1.0,0.9777777777777777,0.045454545454545456,0.0,22,21,1,0
online,train,layer,14,46,23,23,1.0,1.0,0.9565217391304348,0.9565217391304348,0.92,1.0,0.9583333333333334,0.08695652173913043,0.0,23,21,2,0
online,train,layer,15,44,22,22,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348,0.09090909090909091,0.0,22,20,2,0
online,train,layer,16,52,26,26,1.0,1.0,0.9615384615384616,0.9615384615384616,0.9285714285714286,1.0,0.962962962962963,0.07692307692307693,0.0,26,24,2,0
online,train,layer,17,36,18,18,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9,1.0,0.9473684210526316,0.1111111111111111,0.0,18,16,2,0
online,train,layer,18,22,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11,11,0,0
online,train,layer,19,36,18,18,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9,1.0,0.9473684210526316,0.1111111111111111,0.0,18,16,2,0
online,train,layer,20,30,15,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15,15,0,0
online,train,layer,21,28,14,14,1.0,1.0,0.9642857142857143,0.9642857142857143,0.9333333333333333,1.0,0.9655172413793104,0.07142857142857142,0.0,14,13,1,0
online,train,layer,22,32,16,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16,16,0,0
online,train,layer,23,56,28,28,0.9783163265306123,0.9758128093134181,0.9642857142857143,0.9642857142857143,0.9333333333333333,1.0,0.9655172413793104,0.07142857142857142,0.0,28,26,2,0
online,train,layer,24,44,22,22,1.0,1.0,0.9772727272727273,0.9772727272727273,0.9565217391304348,1.0,0.9777777777777777,0.045454545454545456,0.0,22,21,1,0
online,train,layer,25,30,15,15,1.0,1.0,0.9333333333333333,0.9333333333333333,0.8823529411764706,1.0,0.9375,0.13333333333333333,0.0,15,13,2,0
online,train,layer,26,42,21,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,21,21,0,0
online,train,layer,27,16,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,8,0,0
online,validation,overall,all,256,128,128,0.50775146484375,0.5925880149383266,0.58203125,0.58203125,0.8888888888888888,0.1875,0.3096774193548387,0.0234375,0.8125,24,125,3,104
online,validation,dataset,gqa,86,43,43,0.505137912385073,0.6031539432359867,0.5813953488372093,0.5813953488372093,1.0,0.16279069767441862,0.28,0.0,0.8372093023255814,7,43,0,36
online,validation,dataset,chartqa,86,43,43,0.533802055164954,0.6472648393265177,0.6395348837209303,0.6395348837209303,0.9285714285714286,0.3023255813953488,0.456140350877193,0.023255813953488372,0.6976744186046512,13,42,1,30
online,validation,dataset,textvqa,84,42,42,0.5068027210884354,0.5538625792822918,0.5238095238095238,0.5238095238095237,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.047619047619047616,0.9047619047619048,4,40,2,38
online,validation,depth,early,96,48,48,0.4782986111111111,0.5558268204308245,0.5625,0.5625,1.0,0.125,0.2222222222222222,0.0,0.875,6,48,0,42
online,validation,depth,middle,86,43,43,0.550027041644132,0.6372090360258744,0.6162790697674418,0.6162790697674418,0.8571428571428571,0.27906976744186046,0.4210526315789474,0.046511627906976744,0.7209302325581395,12,41,2,31
online,validation,depth,late,74,37,37,0.4996347699050402,0.5923944330998787,0.5675675675675675,0.5675675675675675,0.8571428571428571,0.16216216216216217,0.27272727272727276,0.02702702702702703,0.8378378378378378,6,36,1,31
online,validation,layer,0,10,5,5,0.64,0.7392857142857143,0.6,0.6,1.0,0.2,0.33333333333333337,0.0,0.8,1,5,0,4
